Spotify;Titol;Cantant;Any;Tipus
spotify:track:5rgy6ghBq1eRApCkeUdJXf;We Are Young (feat. Janelle Monáe);fun., Janelle Monáe;2012;Temacles
spotify:track:3QncI2MDoSto39bT8SJtKK;Antes Muerta Que Sencilla;María Isabel;2004;Temacles
spotify:track:1SShxVVBeZBCY7WddnksPz;Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix;Crystal Waters, The Basement Boys;1991;Temacles
spotify:track:4vfzROmNsxedKICcHod5Rh;Here Comes the Hotstepper;iNi Kamoze;2001;Temacles
spotify:track:3FdHgoJbH3DXNtGLh56pFu;Conga!;Miami Sound Machine;1985;Temacles
spotify:track:4a9hKPzMzh0vkKOUnz5gSD;Ella Elle L A;Kate Ryan;2008;Temacles
spotify:track:5fy4vfEtv6lzqLx2Mt7stF;It's a Sin - 2018 Remaster;Pet Shop Boys;1987;Temacles
spotify:track:22D8T98R2LL6PEC0LGrmYt;Let Me Out;Dover;2006;Temacles
spotify:track:2hrUO4drrO63i7FYbCLBl2;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit, Sean Paul, Anne-Marie;2018;Temacles
spotify:track:4rFCPjKfgbEeNvs1Ku4nbd;Yo Quiero Bailar;Sonia Y Selena;2001;Temacles
spotify:track:1hGy2eLcmC8eKx7qr1tOqx;Beautiful Girls;Sean Kingston;2007;Temacles
spotify:track:2ev0McFPUBFiQ8CAXL2Okw;Saturday Night - Radio Mix;Whigfield;2022;Temacles
spotify:track:2wlptOJ1g5fvLdu6ruKCKU;Madre Tierra (Oye);Chayanne;2014;Temacles
spotify:track:11rsK9GDZ9UdWsxtDqnMmN;¿Porqué te vas?;Jeanette;2011;Temacles
spotify:track:1zi7xx7UVEFkmKfv06H8x0;One Dance;Drake, Wizkid, Kyla;2016;Temacles
spotify:track:5TMLavqGRKNxgzMBrVpC9R;Mon Amour - Remix;zzoilo, Aitana;2021;Temacles
spotify:track:2ixsaeFioXJmMgkkbd4uj1;Budapest;George Ezra;2014;Temacles
spotify:track:1EBYkBMIU9nWRCLsot4DN2;Lo echamos a suertes;Ella Baila Sola;1996;Temacles
spotify:track:12FI23F59xB0DOoZcVKf4J;Bienvenidos;Miguel Ríos;1992;Temacles
spotify:track:32MzNj36hpZLKIvdo80hOO;Agapimu;Ana Belén;1979;Temacles
spotify:track:0lIoY4ZQsdn5QzhraM9o9u;Because the Night;Patti Smith;1978;Temacles
spotify:track:6L89mwZXSOwYl76YXfX13s;Basket Case;Green Day;1994;Temacles
spotify:track:4XHNR6VSE2JLNd65kNkX2L;Ai Se Eu Te Pego;Michel Teló;2015;Temacles
spotify:track:1fDsrQ23eTAVFElUMaf38X;American Pie;Don McLean;1971;Temacles
spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7;Can't Get You out of My Head;Kylie Minogue;2001;Temacles
spotify:track:59BkBWQitTPgS1inzGfyI5;Stars On 45 - Original Single Edit;Stars On 45;1981;Temacles
spotify:track:0nrRP2bk19rLc0orkWPQk2;Wake Me Up;Avicii;2013;Temacles
spotify:track:2fTsFCKRFQ5M0igJgabnLA;Price Tag;Jessie J, B.o.B;2011;Temacles
spotify:track:4W4wYHtsrgDiivRASVOINL;Love Shack;The B-52's;1989;Temacles
spotify:track:70LcF31zb1H0PyJoS1Sx1r;Creep;Radiohead;1993;Temacles
spotify:track:2YdX7PEziOImkySNDWsaKM;Rise Up - Radio Edit;Yves Larock;2015;Temacles
spotify:track:22HYEJveCvykVDHDiEEmjZ;Tubthumping;Chumbawamba;1997;Temacles
spotify:track:4pt5fDVTg5GhEvEtlz9dKk;I WANNA BE YOUR SLAVE;Måneskin;2021;Temacles
spotify:track:4r8lRYnoOGdEi6YyI5OC1o;Bye Bye Bye;*NSYNC;2000;Temacles
spotify:track:3dPQuX8Gs42Y7b454ybpMR;Seven Nation Army;The White Stripes;2003;Temacles
spotify:track:2WElktskrNJEwgpp5Vouxk;I'm Too Sexy;Right Said Fred;1992;Temacles
spotify:track:6WrnSlcN0dzTO80mVVbBto;Do You Want To;Franz Ferdinand;2005;Temacles
spotify:track:6vcdzohhBSbNdsZBh5IRpQ;Back for Good - Radio Mix;Take That;1995;Temacles
spotify:track:5DiXcVovI0FcY2s0icWWUu;Mr. Jones;Counting Crows;1993;Temacles
spotify:track:1PckUlxKqWQs3RlWXVBLw3;About Damn Time;Lizzo;2022;Temacles
spotify:track:2zMJN9JvDlvGP4jB03l1Bz;Hot Stuff;Donna Summer;1979;Temacles
spotify:track:7hhclvecTpNxNNRCk7NUoc;Little L;Jamiroquai;2001;Temacles
spotify:track:3Z2tPWiNiIpg8UMMoowHIk;We Are The World;U.S.A. For Africa;1985;Temacles
spotify:track:3TZiiTNmVhLRMhPksHqk8M;Nunca volverá;El Sueño de Morfeo;2005;Temacles
spotify:track:0ikz6tENMONtK6qGkOrU3c;Wake Me Up Before You Go-Go;Wham!;1984;Temacles
spotify:track:5R9a4t5t5O0IsznsrKPVro;Single Ladies (Put a Ring on It);Beyoncé;2008;Temacles
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i;TiK ToK;Kesha;2010;Temacles
spotify:track:3NWoyVfSCtJ7CSFQ7rVu05;Ni Mas Ni Menos;Los Chichos;2007;Temacles
spotify:track:000u1dTg7y1XCDXi80hbBX;I Don't Want A Lover;Texas;1989;Temacles
spotify:track:4Fvnz1ZJ86IdqDAepWYPAh;Volver, Volver;Vicente Fernández;1972;Temacles
spotify:track:21qnJAMtzC6S5SESuqQLEK;Pump Up The Jam;Technotronic;1989;Temacles
spotify:track:1di1BEgJYzPvXUuinsYJGP;Everybody (Backstreet's Back) - Radio Edit;Backstreet Boys;1997;Temacles
