URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:6I9VzXrHxO9rA9A5euc8Ak;Toxic;Britney Spears;2003
spotify:track:6JY1IdkZGeIcPegKxjSKeb;Since U Been Gone;Kelly Clarkson;2004
spotify:track:0gJvqi9QyASOCtJu99tytc;Because of You;Kelly Clarkson;2005
spotify:track:30FURVTCpbKyykjSEQzGkH;Back To Black;Amy Winehouse;2006
spotify:track:6RX5iL93VZ5fKmyvNXvF1r;Irreplaceable;BeyoncÃ©;2006
spotify:track:3N4DI1vuTSX1tz7fa2NQZw;Rehab;Amy Winehouse;2006
spotify:track:0DMRKqrpd0QO4RWiEdMib0;You Know I'm No Good;Amy Winehouse;2006
spotify:track:6kopmMZiyLmw7h66uXcXR7;Mark Ronson, Amy Winehouse;Valerie;2007
spotify:track:2xAHKs8W4lcOLweTCAPUbF;More to Lose;Miley Cyrus;2007
spotify:track:6IwKcFdiRQZOWeYNhUiWIv;No One;Alicia Keys;2007
spotify:track:49FYlytm3dAAraYgpoJZux;Rihanna, JAY-Z;Umbrella;2007
spotify:track:6yLX8QnxlnEqZfs3YKCfjF;Tears Dry On Their Own;Amy Winehouse;2007
spotify:track:4JehYebiI9JE8sR8MisGVb;Halo;BeyoncÃ©;2008
spotify:track:1oQZk2bKBLgP1cbuFKvjkq;If I Were a Boy;BeyoncÃ©;2008
spotify:track:1dzQoRqT5ucxXVaAhTcT0J;Lady Gaga, Colby O'Donis;Just Dance;2008
spotify:track:1QV6tiMFM6fSOKOGLMHYYg;Poker Face;Lady Gaga;2008
spotify:track:5R9a4t5t5O0IsznsrKPVro;Single Ladies (Put a Ring on It);BeyoncÃ©;2008
spotify:track:1GEBsLDvJGw7kviySRI6GX;You Belong With Me;Taylor Swift;2008
spotify:track:0SiywuOBRcynK0uKGWdCnn;Bad Romance;Lady Gaga;2009
spotify:track:4TCL0qqKyqsMZml0G3M9IM;Lady Gaga, BeyoncÃ©;Telephone;2009
spotify:track:02XnQdf7sipaKBBHixz3Zp;Paparazzi;Lady Gaga;2009
spotify:track:0T3Hw3kPj9T2E4UoaSXmfn;Disease;Lady Gaga;2010
spotify:track:4OSBTYWVwsQhGLF9NHvIbR;Rolling in the Deep;Adele;2010
spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0;Run the World (Girls);BeyoncÃ©;2011
spotify:track:3bNv3VuUOKgrf5hu3YcuRo;Someone Like You;Adele;2011
spotify:track:1nInOsHbtotAmEOQhtvnzP;Stronger (What Doesn't Kill You);Kelly Clarkson;2011
spotify:track:3WC5CVAahvn98hiseoIvbw;22;Taylor Swift;2012
spotify:track:6O20JhBJPePEkBdrB5sqRx;Diamonds;Rihanna;2012
