Pagina_QR,Spotify_URI,Info_Canco
35,https://www.youtube.com/watch?v=n-zHCwxtpec,No detectat
35,https://www.youtube.com/watch?v=QRDZjj7-tOk,No detectat
35,https://www.youtube.com/watch?v=9TSiXgzi-hk,No detectat
37,https://www.youtube.com/watch?v=I-uwouMzUB4,poco | 2002
37,https://www.youtube.com/watch?v=juNxwa6H3lI,Basura | 2005
37,https://www.youtube.com/watch?v=15bvHHXOFBI,Heroína | 2017
37,https://www.youtube.com/watch?v=8_RWPLfo8Xg,No detectat
37,https://www.youtube.com/watch?v=fsxVo6WqI8w,No detectat
37,https://www.youtube.com/watch?v=4CJwzwOIPAY,No detectat
37,https://www.youtube.com/watch?v=WdZcC0nowBs,No detectat
37,https://www.youtube.com/watch?v=SE4SmL_SWU8,No detectat
37,https://www.youtube.com/watch?v=qMVxdYUu-6I,No detectat
37,https://www.youtube.com/watch?v=rgshBZ4d2jQ,No detectat
37,https://www.youtube.com/watch?v=KvArD74OpFc,No detectat
37,https://www.youtube.com/watch?v=oApqXiCbqjo,No detectat
39,https://www.youtube.com/watch?v=wt1M---Z7ec,Teléfono | 2018
39,https://www.youtube.com/watch?v=bHTfTPIMnaw,Mientes | 2021
39,https://www.youtube.com/watch?v=QFs3PIZb3js,Limbo | 2012
39,https://www.youtube.com/watch?v=aDCcLQto5BM,Tal Vez | 2019
39,https://www.youtube.com/watch?v=_gm5piKnrS4,No detectat
39,https://www.youtube.com/watch?v=Mtau4v6foHA,No detectat
39,https://www.youtube.com/watch?v=xftFxCYQTdk,No detectat
39,https://www.youtube.com/watch?v=6BTjG-dhf5s,No detectat
39,https://www.youtube.com/watch?v=NPpELzyP4rw,No detectat
39,https://www.youtube.com/watch?v=6DRkf3kZMXw,No detectat
39,https://www.youtube.com/watch?v=_KSyWS8UgA4,No detectat
39,https://www.youtube.com/watch?v=9m6ogS57sc8,No detectat
41,https://www.youtube.com/watch?v=5f5eiLOLIpg,Solo Tú | 2013
41,https://www.youtube.com/watch?v=npI4PIO5ij0,Nada | 2022
41,https://www.youtube.com/watch?v=oX0jcZQ16ew,Exótica | 2025
41,https://www.youtube.com/watch?v=J420qbYfIX0,"by Gabry Ponte, | R3HAB, Mougleta"
41,https://www.youtube.com/watch?v=eFN5TSKCuCs,Cantaré | 2025
41,https://www.youtube.com/watch?v=a5Hp4K0PwRQ,No detectat
41,https://www.youtube.com/watch?v=bt-92dlspc4,No detectat
41,https://www.youtube.com/watch?v=Yeke1krzPFM,No detectat
41,https://www.youtube.com/watch?v=CxQX0F_mAT8,No detectat
41,https://www.youtube.com/watch?v=afUaGspU528,No detectat
41,https://www.youtube.com/watch?v=D6k-BKMsfi8,No detectat
41,https://www.youtube.com/watch?v=cgGVF3Nye-k,No detectat
43,https://www.youtube.com/watch?v=52UC6kC-p64,Ay Mamá | 2021
43,https://www.youtube.com/watch?v=sAU-pZCxVMM,Que Sí) | 2018
43,https://www.youtube.com/watch?v=-z9qeALR7j0,Despechá | 2022
43,https://www.youtube.com/watch?v=de6XejD1eyU,corrá | 2006
43,https://www.youtube.com/watch?v=o2tdLOK7-PE,No detectat
43,https://www.youtube.com/watch?v=5g2hT4GmAGU,No detectat
43,https://www.youtube.com/watch?v=p_4coiRG_BI,No detectat
43,https://www.youtube.com/watch?v=5mfvhreMLHs,No detectat
43,https://www.youtube.com/watch?v=ZBHOuRhq82M,No detectat
43,https://www.youtube.com/watch?v=wFiUq2hG03c,No detectat
43,https://www.youtube.com/watch?v=5mKKc2F0GbQ,No detectat
43,https://www.youtube.com/watch?v=1j_dSNUGU-U,No detectat
45,https://www.youtube.com/watch?v=dBiEXEkfGOE,Girasoles | 2017
45,https://www.youtube.com/watch?v=pFJvw5Anb2w,Y Busqué | 2020
45,https://www.youtube.com/watch?v=sjzb5gxaI5Q,Las 12 | 2022
45,https://www.youtube.com/watch?v=-O6WGdkOFOU,Fan de Ti | 2010
45,https://www.youtube.com/watch?v=0228mfBzZEk,No detectat
45,https://www.youtube.com/watch?v=dD-cPmVwIqI,No detectat
45,https://www.youtube.com/watch?v=ZwZfcO3zhg0,No detectat
45,https://www.youtube.com/watch?v=sh2lLZBnrfA,No detectat
45,https://www.youtube.com/watch?v=o3L7U7hjkxo,No detectat
45,https://www.youtube.com/watch?v=WgEJCtsvxOQ,No detectat
45,https://www.youtube.com/watch?v=d21lBEXv6RE,No detectat
47,https://www.youtube.com/watch?v=aoI0kCyhVIg,Ya No | 2015
47,https://www.youtube.com/watch?v=SsweeEB0Eq4,luna | 1992
47,https://www.youtube.com/watch?v=UrBB37IlJiM,No detectat
47,https://www.youtube.com/watch?v=jqDEKHwpOJ0,No detectat
47,https://www.youtube.com/watch?v=_KQPR8lgxsU,No detectat
47,https://www.youtube.com/watch?v=h6OQqNulV5g,No detectat
47,https://www.youtube.com/watch?v=fQZEeoeS36Y,No detectat
47,https://www.youtube.com/watch?v=Pza7rMMaRjw,No detectat
47,https://www.youtube.com/watch?v=kYOpxJRaZB0,No detectat
47,https://www.youtube.com/watch?v=P4EscvBiPpI,No detectat
49,https://www.youtube.com/watch?v=Hh_8zh--OBk,Mi Gente | 2002
49,https://www.youtube.com/watch?v=zUgSX2642os,Cariño | 2021
49,https://www.youtube.com/watch?v=RMRe426ZEpU,Fuego | 2008
49,https://www.youtube.com/watch?v=hVQpuS97xvc,idiota | 2015
49,https://www.youtube.com/watch?v=lBztnahrOFw,No detectat
49,https://www.youtube.com/watch?v=zHAB4SbwmdM,No detectat
49,https://www.youtube.com/watch?v=Cc0HRJxwgXo,No detectat
49,https://www.youtube.com/watch?v=ipXKZyTW7Mc,No detectat
49,https://www.youtube.com/watch?v=EV5mZ4Znjg0,No detectat
49,https://www.youtube.com/watch?v=5iIwl4jqVOw,No detectat
49,https://www.youtube.com/watch?v=9-i3YfmPf7g,No detectat
49,https://www.youtube.com/watch?v=PZdaINzIR4Q,No detectat
51,https://www.youtube.com/watch?v=T0pxqNRkFKA,Cara | 2006
51,https://www.youtube.com/watch?v=6y0GsXrqmuI,Idiotas | 2008
51,https://www.youtube.com/watch?v=AWOy3B3sMtM,Tortugas | 2007
51,https://www.youtube.com/watch?v=0FuW6uVv6p8,Sencilla | 2004
51,https://www.youtube.com/watch?v=Eg49Cs36UHs,Lola | 1988
51,https://www.youtube.com/watch?v=AV3LlZzwr-g,No detectat
51,https://www.youtube.com/watch?v=8G5j5s3d8dU,No detectat
51,https://www.youtube.com/watch?v=d37ivgjC27Y,No detectat
51,https://www.youtube.com/watch?v=irSx_lULJkg,No detectat
51,https://www.youtube.com/watch?v=ipZ06pGsHbQ,No detectat
51,https://www.youtube.com/watch?v=W2v72CID98M,No detectat
53,https://www.youtube.com/watch?v=eWEFU2c3tBI,La Venda | 2019
53,https://www.youtube.com/watch?v=l9KWjZ4rLmE,Amanecer | 2015
53,https://www.youtube.com/watch?v=Qz9gmiLBVFA,Bailao | 2011
53,https://www.youtube.com/watch?v=U8J1b62wOao,Dime | 2003
53,https://www.youtube.com/watch?v=91bKjEojSDU,Bandido | 1990
53,https://www.youtube.com/watch?v=6gltZu8lsFc,No detectat
53,https://www.youtube.com/watch?v=Z8bKE6FCVdU,No detectat
53,https://www.youtube.com/watch?v=7dGysPC_q9k,No detectat
53,https://www.youtube.com/watch?v=2LbhAIsXqt8,No detectat
53,https://www.youtube.com/watch?v=POj0U2W6MnE,No detectat
53,https://www.youtube.com/watch?v=ixJAC7GFrEU,No detectat
53,https://www.youtube.com/watch?v=U0_2dnl7U-8,No detectat
55,https://www.youtube.com/watch?v=vlKHxjyFCjQ,by Rulo y La | Contrabanda
55,https://www.youtube.com/watch?v=WDaRH2o3yi8,ti | 2007
55,https://www.youtube.com/watch?v=QVowR_OpYKE,Mocatriz | 2019
55,https://www.youtube.com/watch?v=FtkZBkcc73o,Cupido | 2023
55,https://www.youtube.com/watch?v=iB_ljVDmlXs,No detectat
55,https://www.youtube.com/watch?v=Y7CgUgX3hZU,No detectat
55,https://www.youtube.com/watch?v=BBGfHp1-zl4,No detectat
55,https://www.youtube.com/watch?v=ZKJGW4l5osI,No detectat
55,https://www.youtube.com/watch?v=gpvAAFp_dfg,No detectat
55,https://www.youtube.com/watch?v=zEf423kYfqk,No detectat
55,https://www.youtube.com/watch?v=4k1fm6YNsg8,No detectat
57,https://www.youtube.com/watch?v=qKp1f7Vn9dM,calles | 2003
57,https://www.youtube.com/watch?v=XUctUGKs1Sc,Al alba | 1978
57,https://www.youtube.com/watch?v=vldYYjCQ7jc,Vete | 1992
57,https://www.youtube.com/watch?v=zMvWTnVlYww,Se Acabó | 1978
57,https://www.youtube.com/watch?v=IpnFR5QeQeA,No detectat
57,https://www.youtube.com/watch?v=ldtfInVG1zY,No detectat
57,https://www.youtube.com/watch?v=8UwQzqNkY-8,No detectat
57,https://www.youtube.com/watch?v=FCGSFlY8IQ4,No detectat
57,https://www.youtube.com/watch?v=JaNglRhWoV0,No detectat
57,https://www.youtube.com/watch?v=av44ve-C2Ag,No detectat
57,https://www.youtube.com/watch?v=_WuWEklrEno,No detectat
59,https://www.youtube.com/watch?v=l3FrBFhZg28,La Mataré | 1987
59,https://www.youtube.com/watch?v=X4lBLXlDpmU,Huesos | 1983
59,https://www.youtube.com/watch?v=7lOEsFE_iPk,Bonito Es | 1992
59,https://www.youtube.com/watch?v=6_2Sd6y4qDs,Sola | 1987
59,https://www.youtube.com/watch?v=u5lI6MFJ4Mo,No detectat
59,https://www.youtube.com/watch?v=IvzEjuxwquE,No detectat
59,https://www.youtube.com/watch?v=A5BIs4_ESBM,No detectat
59,https://www.youtube.com/watch?v=VndF6_hzzeU,No detectat
59,https://www.youtube.com/watch?v=06CLgdyDJhY,No detectat
59,https://www.youtube.com/watch?v=iWq51S7w368,No detectat
59,https://www.youtube.com/watch?v=EI4FQ6GbLQ0,No detectat
61,https://www.youtube.com/watch?v=xoMTCAx4VDM,Qué Dolor | 1992
61,https://www.youtube.com/watch?v=iUTf5xWXFYU,Mala Vida | 1988
61,https://www.youtube.com/watch?v=W5MRwCtddrs,La Bamba | 1987
61,https://www.youtube.com/watch?v=F_xbfIgWMHU,tu lado | 1988
61,https://www.youtube.com/watch?v=rc_JlAbCEeM,No detectat
61,https://www.youtube.com/watch?v=nLAWPrCUQQ0,No detectat
61,https://www.youtube.com/watch?v=TKKJDQilI70,No detectat
61,https://www.youtube.com/watch?v=CKMDB5MG6hc,No detectat
61,https://www.youtube.com/watch?v=XhY1Uz2t8cI,No detectat
61,https://www.youtube.com/watch?v=JkDGP3pjhuw,No detectat
63,https://www.youtube.com/watch?v=Z0T_Blmv0sE,Decidí | 1989
