Spotify;Titol;Cantant;Any
spotify:track:3XsC53nR7WLjc3b1CAgXhB;Loco loco;Hurricane;11/3/2021
spotify:track:2gThkoApt6B7ajBWZRLAVv;Bara Bada Bastu;KAJ;21/2/2025
spotify:track:3RHRXSKaQ6oBS29iiDI3as;Kant;Miriana Conte;10/1/2025
spotify:track:52NFoPnzxOKPIcJIQ9mb5Q;ICH KOMME;Erika Vikman;16/1/2025
spotify:track:1MMfGAHowKNRithYDIRS1k;Zjerm;Shkodra Elektronike;10/12/2024
spotify:track:1YnOwWvV1bQevRqJMCbYJz;RÓA;VÆB;17/1/2025
spotify:track:4kbkYbhWNiSJraySknB4hD;Baller;Abor & Tynna;14/2/2025
spotify:track:4zpNfuWJA3K4d9TS4qnOIB;Espresso Macchiato;Tommy Cash;7/12/2024
spotify:track:5PZnJ8GErvuiCo7wKKtpKo;Laika Party;EMMY;20/1/2025
spotify:track:6oGrwxJItvG261mLBk6DmK;Bur man laimi;Tautumeitas;4/12/2024
spotify:track:0b9RNAzGtDRRMQS1cF9HXT;C'est La Vie;Claude;27/2/2025
spotify:track:0h3w9Sr1gToqxA9gIs5O39;Tutta L'Italia;Gabry Ponte;31/1/2025
spotify:track:5lmoGiZquqsW9sNxJQGRHn;Bird of Pray - Eurovision 2025;Ziferblat;14/3/2025
spotify:track:4Y0lQy86Qz9ncQwgTTS2rc;Voyage;Zoë Më;10/3/2025
spotify:track:2aE2SRm4QraCuDBNnBsRIz;Asteromata;Klavdia;31/1/2025
